Location,Street_code,Box_code,Area,Municipality,Province,Country
Pretoria,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Tshwane,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Berea Park,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Central,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Clydesdale,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Defence Force Area,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Gevangenisterrein,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Goedehoop,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Marabastad,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Muckleneuk,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Prince's Park,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Prison Area,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Railway Reserve,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Riverdal,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Riverdale,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Salvokop,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Sentraal,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Skanskop,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Spoorwegterrein,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Sunnyside,0002,0132,Pretoria,City of Tshwane,Gauteng,South Africa
Trevenna,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Tshwane,0002,0001,Pretoria,City of Tshwane,Gauteng,South Africa
Verdedigingsterrein,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Zwaveldspoort,0002,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Unisa,-------,0003,Pretoria,City of Tshwane,Gauteng,South Africa
City Council,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria City Council,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Pretoria Stadsraad,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Stadsraad Van Pretoria,-------,0004,Pretoria,City of Tshwane,Gauteng,South Africa
Alkantrant,0081,0005,Pretoria,City of Tshwane,Gauteng,South Africa
Atteridgeville,0008,0006,Pretoria,City of Tshwane,Gauteng,South Africa
Arcadia,0083,0007,Pretoria,City of Tshwane,Gauteng,South Africa
Atteridgeville,0008,0006,Pretoria,City of Tshwane,Gauteng,South Africa
Atteridgeville,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 16,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 17,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 18,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 2,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 3,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 4,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 42,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 6,0008,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Ext 7,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 16,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 17,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 18,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 2,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 3,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 4,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 42,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 6,0008,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville Uit 7,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville West,-------,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville West Ext 6,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Atteridgeville-Wes Uit 6,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Concern,-------,0008,Concern,City of Tshwane,Gauteng,South Africa
Concern,0008,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Kalafong Heights,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Kalafong Hoogte,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Lotus Garden,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Gardens,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Gardens Ext 2,0008,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Gardens Ext 3,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuin,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuine,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuine Uit 2,0008,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuine Uit 3,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Matamela,-------,0008,Matamela,City of Tshwane,Gauteng,South Africa
Mofokeng,-------,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Phomolong,-------,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Saulsville,-------,0008,Atteridgeville,City of Tshwane,Gauteng,South Africa
Saulsville Ext 3,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Saulsville Uit 3,0008,-------,Atteridgeville,City of Tshwane,Gauteng,South Africa
Bon Accord,-------,0009,Pretoria,City of Tshwane,Gauteng,South Africa
Constantia Park,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Constantiapark,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Glenstantia,0181,0010,Pretoria,City of Tshwane,Gauteng,South Africa
Waterkloof Glen,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Ext 2,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Ext 3,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Ext 4,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Ext 5,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Ext 6,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Uit 2,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Uit 3,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Uit 4,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Uit 5,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Waterkloof Glen Uit 6,0181,0010,Glenstantia,City of Tshwane,Gauteng,South Africa
Brooklyn,0181,0011,Pretoria,City of Tshwane,Gauteng,South Africa
Telkom Place,-------,0012,Pretoria,City of Tshwane,Gauteng,South Africa
Clubview,0157,0014,Centurion,City of Tshwane,Gauteng,South Africa
Savanna Park,0157,0014,Centurion,City of Tshwane,Gauteng,South Africa
Savannah Park,0157,0014,Centurion,City of Tshwane,Gauteng,South Africa
Simarlo,-------,0014,Pretoria,City of Tshwane,Gauteng,South Africa
Cor Delfos,-------,0016,Pretoria,City of Tshwane,Gauteng,South Africa
Doornpark,-------,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort,0186,0017,Pretoria,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 1,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 2,0186,0017,Pretoria,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 29,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 30,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 31,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 32,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 33,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 34,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 4,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 40,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 41,0182,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Ext 6,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 1,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 2,0186,0017,Pretoria,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 29,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 30,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 31,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 32,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 33,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 34,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 4,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 40,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 41,0182,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Doornpoort Uit 6,0186,0017,Doornpoort,City of Tshwane,Gauteng,South Africa
Danville,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Danville Ext 14,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Danville Ext 16,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Danville Ext 9,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Danville Uit 14,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Danville Uit 16,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Danville Uit 9,0183,0018,Pretoria,City of Tshwane,Gauteng,South Africa
Daspoort,0082,0019,Pretoria,City of Tshwane,Gauteng,South Africa
Persequor Park,-------,0020,Pretoria,City of Tshwane,Gauteng,South Africa
Eersterus,0022,0021,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus,0022,-------,Pretoria,City of Tshwane,Gauteng,South Africa
Eersterus,0022,0021,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus Ext 4,0022,-------,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus Ext 5,0022,-------,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus Ext 6,0022,-------,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus Uit 4,0022,-------,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus Uit 5,0022,-------,Silverton,City of Tshwane,Gauteng,South Africa
Eersterus Uit 6,0022,-------,Silverton,City of Tshwane,Gauteng,South Africa
Erasmia,0183,0023,Pretoria,City of Tshwane,Gauteng,South Africa
Fouriesrus,-------,0024,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Garden,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Gardens,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Gardens Ext 3,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuin,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuine,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Lotus Tuine Uit 3,0008,0025,Pretoria,City of Tshwane,Gauteng,South Africa
Laezonia,-------,0026,Pretoria,City of Tshwane,Gauteng,South Africa
Groenkloof,0181,0027,Pretoria,City of Tshwane,Gauteng,South Africa
Hatfield,0083,0028,Pretoria,City of Tshwane,Gauteng,South Africa
Philip Nel Park,0183,0029,Pretoria,City of Tshwane,Gauteng,South Africa
Philip Nel Park Ext 5,0183,0029,Philip Nel Park,City of Tshwane,Gauteng,South Africa
Philip Nel Park Uit 5,0183,0029,Philip Nel Park,City of Tshwane,Gauteng,South Africa
Hercules,0082,0030,Pretoria,City of Tshwane,Gauteng,South Africa
Mountain View,0082,0030,Pretoria,City of Tshwane,Gauteng,South Africa
Roodeplaat,0039,0030,Pretoria,City of Tshwane,Gauteng,South Africa
Gezina,0084,0031,Pretoria,City of Tshwane,Gauteng,South Africa
Elandspoort,0183,0032,Pretoria,City of Tshwane,Gauteng,South Africa
Wonderboom Poort,-------,0033,Pretoria,City of Tshwane,Gauteng,South Africa
Derdepark,0186,0035,Pretoria,City of Tshwane,Gauteng,South Africa
Derdepoortpark,0186,0035,Pretoria,City of Tshwane,Gauteng,South Africa
East Lynne,0186,0035,Pretoria,City of Tshwane,Gauteng,South Africa
Kameeldrif East,0035,0035,Derdepark,City of Tshwane,Gauteng,South Africa
Kameeldrif-Oos,0035,0035,Derdepark,City of Tshwane,Gauteng,South Africa
Knoppieslaagte,-------,0035,Derdepark,City of Tshwane,Gauteng,South Africa
Swavelpoort,0081,0036,Pretoria,City of Tshwane,Gauteng,South Africa
Zwavelpoort,0081,0036,Pretoria,City of Tshwane,Gauteng,South Africa
Claudius,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Laudium,-------,0037,Laudium,City of Tshwane,Gauteng,South Africa
Laudium,0037,0037,Pretoria,City of Tshwane,Gauteng,South Africa
Laudium Ext 1,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Laudium Ext 2,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Laudium Ext 3,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Laudium Uit 1,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Laudium Uit 2,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Laudium Uit 3,0037,-------,Laudium,City of Tshwane,Gauteng,South Africa
Baviaanspoort,0186,0039,Lynn East,City of Tshwane,Gauteng,South Africa
Lindo Park Ext 1,0186,0039,Pretoria,City of Tshwane,Gauteng,South Africa
Lindopark Uit 1,0186,0039,Pretoria,City of Tshwane,Gauteng,South Africa
Lynn East,0186,0039,Pretoria,City of Tshwane,Gauteng,South Africa
Lynn-oos,0186,0039,Pretoria,City of Tshwane,Gauteng,South Africa
Roodeplaat,0039,0030,Pretoria,City of Tshwane,Gauteng,South Africa
Lynnwood,0081,0040,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwood Ridge,0081,0040,Menlo Park,City of Tshwane,Gauteng,South Africa
Lynnwoodrif,0081,0040,Menlo Park,City of Tshwane,Gauteng,South Africa
Die Wilgers,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 1,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 13,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 15,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 17,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 28,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 5,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 51,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 64,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Die Wilgers Uit 9,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 1,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 13,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 15,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 17,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 28,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 5,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 51,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 64,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
The Willows Ext 9,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Willow Glen,0081,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Willow Way,0180,0041,Pretoria,City of Tshwane,Gauteng,South Africa
Garsfontein,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 1,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 10,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 11,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 12,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 13,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 14,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 15,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 16,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 17,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 2,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 3,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 4,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 5,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 6,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 7,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 8,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Ext 9,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 1,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 10,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 11,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 12,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 13,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 14,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 15,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 16,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 17,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 2,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 3,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 4,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 5,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 6,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 7,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 8,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein Uit 9,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein West,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Garsfontein-Wes,0081,0042,Menlo Park,City of Tshwane,Gauteng,South Africa
Pretoriuspark,0081,0042,Garsfontein,City of Tshwane,Gauteng,South Africa
Boardwalk Manor,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Boardwalk Meander,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Boardwalk Villas Ext 4,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Boardwalk Villas Uit 4,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Bronberg,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 1,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 2,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 24,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 28,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 3,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 32,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 34,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 36,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 37,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 4,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 45,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 48,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 6,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 7,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 70,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 71,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 8,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Ext 9,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 1,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 2,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 24,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 28,0081,0043,Pretoria,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 3,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 32,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 34,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 36,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 37,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 4,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 45,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 48,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 6,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 7,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 70,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 71,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 8,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Faerie Glen Uit 9,0081,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Fairview,-------,0043,Faerie Glen,City of Tshwane,Gauteng,South Africa
Moreleta Ridge,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark,0181,0044,Pretoria,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 1,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 17,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 19,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 2,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 20,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 21,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 23,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 24,0181,0044,Pretoria,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 27,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 30,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 36,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 4,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 41,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 42,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 46,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 49,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 50,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 51,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 63,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 64,0181,0044,Pretoria,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 67,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Ext 9,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 1,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 17,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 19,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 2,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 20,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 21,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 23,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 24,0181,0044,Pretoria,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 27,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 30,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 36,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 4,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 41,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 42,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 46,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 49,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
Moreletapark Uit 50,0181,0044,Moreletapark,City of Tshwane,Gauteng,South Africa
